Notes,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Race,Race Code,Deaths,Population
,2006,2006,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1075,1164945
,2006,2006,35-44 years,35-44,Male,M,Black or African American,2054-5,10521,2703748
,2006,2006,35-44 years,35-44,Male,M,White,2106-3,39770,17385025
Total,2006,2006,35-44 years,35-44,Male,M,,,52150,21516190
Total,2006,2006,35-44 years,35-44,,,,,83043,43243801
,2006,2006,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,738,236827
,2006,2006,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1526,1073534
,2006,2006,45-54 years,45-54,Female,F,Black or African American,2054-5,15307,2830149
,2006,2006,45-54 years,45-54,Female,F,White,2106-3,52288,17871065
Total,2006,2006,45-54 years,45-54,Female,F,,,69859,22011575
,2006,2006,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1199,224437
,2006,2006,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2180,935983
,2006,2006,45-54 years,45-54,Male,M,Black or African American,2054-5,22112,2480427
,2006,2006,45-54 years,45-54,Male,M,White,2106-3,89681,17633737
Total,2006,2006,45-54 years,45-54,Male,M,,,115172,21274584
Total,2006,2006,45-54 years,45-54,,,,,185031,43286159
,2006,2006,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,932,141901
,2006,2006,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,2337,725967
,2006,2006,55-64 years,55-64,Female,F,Black or African American,2054-5,19198,1823298
,2006,2006,55-64 years,55-64,Female,F,White,2106-3,89947,13840888
Total,2006,2006,55-64 years,55-64,Female,F,,,112414,16532054
,2006,2006,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1294,132726
,2006,2006,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,3334,610545
,2006,2006,55-64 years,55-64,Male,M,Black or African American,2054-5,27198,1506187
,2006,2006,55-64 years,55-64,Male,M,White,2106-3,137161,13148601
Total,2006,2006,55-64 years,55-64,Male,M,,,168987,15398059
Total,2006,2006,55-64 years,55-64,,,,,281401,31930113
,2006,2006,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1157,70558
,2006,2006,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3579,403198
,2006,2006,65-74 years,65-74,Female,F,Black or African American,2054-5,23539,1071836
,2006,2006,65-74 years,65-74,Female,F,White,2106-3,143653,8805046
Total,2006,2006,65-74 years,65-74,Female,F,,,171928,10350638
,2006,2006,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1295,60869
,2006,2006,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,4358,331416
,2006,2006,65-74 years,65-74,Male,M,Black or African American,2054-5,27587,785597
,2006,2006,65-74 years,65-74,Male,M,White,2106-3,184925,7674507
Total,2006,2006,65-74 years,65-74,Male,M,,,218165,8852389
Total,2006,2006,65-74 years,65-74,,,,,390093,19203027
,2006,2006,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1386,34930
,2006,2006,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,5945,226627
,2006,2006,75-84 years,75-84,Female,F,Black or African American,2054-5,32680,648099
,2006,2006,75-84 years,75-84,Female,F,White,2106-3,300012,6823029
Total,2006,2006,75-84 years,75-84,Female,F,,,340023,7732685
,2006,2006,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1156,24478
,2006,2006,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,5833,156356
,2006,2006,75-84 years,75-84,Male,M,Black or African American,2054-5,27322,370146
,2006,2006,75-84 years,75-84,Male,M,White,2106-3,293004,4811486
Total,2006,2006,75-84 years,75-84,Male,M,,,327315,5362466
Total,2006,2006,75-84 years,75-84,,,,,667338,13095151
,2006,2006,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1085,11526
,2006,2006,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,6042,69733
,2006,2006,85+ years,85+,Female,F,Black or African American,2054-5,33364,246500
,2006,2006,85+ years,85+,Female,F,White,2106-3,419923,3019780
Total,2006,2006,85+ years,85+,Female,F,,,460414,3347539
,2006,2006,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,591,5505
,2006,2006,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,4587,41121
,2006,2006,85+ years,85+,Male,M,Black or African American,2054-5,14778,91732
,2006,2006,85+ years,85+,Male,M,White,2106-3,221622,1380032
Total,2006,2006,85+ years,85+,Male,M,,,241578,1518390
Total,2006,2006,85+ years,85+,,,,,701992,4865929
,2006,2006,Not Stated,NS,Female,F,American Indian or Alaska Native,1002-5,1,Not Applicable
,2006,2006,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,1,Not Applicable
,2006,2006,Not Stated,NS,Female,F,Black or African American,2054-5,10,Not Applicable
,2006,2006,Not Stated,NS,Female,F,White,2106-3,37,Not Applicable
Total,2006,2006,Not Stated,NS,Female,F,,,49,Not Applicable
,2006,2006,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,1,Not Applicable
,2006,2006,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,6,Not Applicable
,2006,2006,Not Stated,NS,Male,M,Black or African American,2054-5,22,Not Applicable
,2006,2006,Not Stated,NS,Male,M,White,2106-3,142,Not Applicable
Total,2006,2006,Not Stated,NS,Male,M,,,171,Not Applicable
Total,2006,2006,Not Stated,NS,,,,,220,Not Applicable
Total,2006,2006,,,,,,,2426264,298379912
,2007,2007,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,191,36155
,2007,2007,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,418,109998
,2007,2007,< 1 year,1,Female,F,Black or African American,2054-5,3969,341912
,2007,2007,< 1 year,1,Female,F,White,2106-3,8267,1539116
Total,2007,2007,< 1 year,1,Female,F,,,12845,2027181
,2007,2007,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,241,37284
,2007,2007,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,537,116110
,2007,2007,< 1 year,1,Male,M,Black or African American,2054-5,4975,353833
,2007,2007,< 1 year,1,Male,M,White,2106-3,10540,1613589
Total,2007,2007,< 1 year,1,Male,M,,,16293,2120816
Total,2007,2007,< 1 year,1,,,,,29138,4147997
,2007,2007,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,40,131969
,2007,2007,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,73,434981
,2007,2007,1-4 years,4-Jan,Female,F,Black or African American,2054-5,516,1259922
,2007,2007,1-4 years,4-Jan,Female,F,White,2106-3,1440,5986216
Total,2007,2007,1-4 years,4-Jan,Female,F,,,2069,7813088
,2007,2007,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,57,135780
,2007,2007,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,109,448386
,2007,2007,1-4 years,4-Jan,Male,M,Black or African American,2054-5,621,1303696
,2007,2007,1-4 years,4-Jan,Male,M,White,2106-3,1847,6277015
Total,2007,2007,1-4 years,4-Jan,Male,M,,,2634,8164877
Total,2007,2007,1-4 years,4-Jan,,,,,4703,15977965
,2007,2007,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,33,332762
,2007,2007,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,92,1017071
,2007,2007,5-14 years,14-May,Female,F,Black or African American,2054-5,547,3298942
,2007,2007,5-14 years,14-May,Female,F,White,2106-3,1890,15161990
Total,2007,2007,5-14 years,14-May,Female,F,,,2562,19810765
,2007,2007,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,61,340909
,2007,2007,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,118,1035832
,2007,2007,5-14 years,14-May,Male,M,Black or African American,2054-5,816,3411972
,2007,2007,5-14 years,14-May,Male,M,White,2106-3,2590,15956175
Total,2007,2007,5-14 years,14-May,Male,M,,,3585,20744888
Total,2007,2007,5-14 years,14-May,,,,,6147,40555653
,2007,2007,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,181,340811
,2007,2007,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,232,1130557
,2007,2007,15-24 years,15-24,Female,F,Black or African American,2054-5,1629,3427608
,2007,2007,15-24 years,15-24,Female,F,White,2106-3,6624,16102513
Total,2007,2007,15-24 years,15-24,Female,F,,,8666,21001489
,2007,2007,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,441,369986
,2007,2007,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,611,1170370
,2007,2007,15-24 years,15-24,Male,M,Black or African American,2054-5,5751,3475919
,2007,2007,15-24 years,15-24,Male,M,White,2106-3,18513,17128051
Total,2007,2007,15-24 years,15-24,Male,M,,,25316,22144326
Total,2007,2007,15-24 years,15-24,,,,,33982,43145815
,2007,2007,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,217,278887
,2007,2007,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,366,1438180
,2007,2007,25-34 years,25-34,Female,F,Black or African American,2054-5,3014,2950907
,2007,2007,25-34 years,25-34,Female,F,White,2106-3,9183,15120619
Total,2007,2007,25-34 years,25-34,Female,F,,,12780,19788593
,2007,2007,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,514,292764
,2007,2007,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,632,1318485
,2007,2007,25-34 years,25-34,Male,M,Black or African American,2054-5,6648,2648751
,2007,2007,25-34 years,25-34,Male,M,White,2106-3,21998,15664870
Total,2007,2007,25-34 years,25-34,Male,M,,,29792,19924870
Total,2007,2007,25-34 years,25-34,,,,,42572,39713463
,2007,2007,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,445,270787
,2007,2007,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,722,1330691
,2007,2007,35-44 years,35-44,Female,F,Black or African American,2054-5,6884,3041008
,2007,2007,35-44 years,35-44,Female,F,White,2106-3,21450,16859516
Total,2007,2007,35-44 years,35-44,Female,F,,,29501,21502002
,2007,2007,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,768,269101
,2007,2007,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1110,1207102
,2007,2007,35-44 years,35-44,Male,M,Black or African American,2054-5,10106,2699828
,2007,2007,35-44 years,35-44,Male,M,White,2106-3,38121,17118197
Total,2007,2007,35-44 years,35-44,Male,M,,,50105,21294228
Total,2007,2007,35-44 years,35-44,,,,,79606,42796230
,2007,2007,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,765,246933
,2007,2007,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1465,1112071
,2007,2007,45-54 years,45-54,Female,F,Black or African American,2054-5,15323,2900246
,2007,2007,45-54 years,45-54,Female,F,White,2106-3,52677,18078712
Total,2007,2007,45-54 years,45-54,Female,F,,,70230,22337962
,2007,2007,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1193,235246
,2007,2007,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2212,971908
,2007,2007,45-54 years,45-54,Male,M,Black or African American,2054-5,21495,2551449
,2007,2007,45-54 years,45-54,Male,M,White,2106-3,89556,17843374
Total,2007,2007,45-54 years,45-54,Male,M,,,114456,21601977
Total,2007,2007,45-54 years,45-54,,,,,184686,43939939
,2007,2007,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,995,150993
,2007,2007,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,2440,774523
,2007,2007,55-64 years,55-64,Female,F,Black or African American,2054-5,19555,1915241
,2007,2007,55-64 years,55-64,Female,F,White,2106-3,90502,14307914
Total,2007,2007,55-64 years,55-64,Female,F,,,113492,17148671
,2007,2007,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1372,140899
,2007,2007,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,3334,647681
,2007,2007,55-64 years,55-64,Male,M,Black or African American,2054-5,28127,1584677
,2007,2007,55-64 years,55-64,Male,M,White,2106-3,140785,13606506
Total,2007,2007,55-64 years,55-64,Male,M,,,173618,15979763
Total,2007,2007,55-64 years,55-64,,,,,287110,33128434
,2007,2007,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1179,74169
,2007,2007,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3454,424558
,2007,2007,65-74 years,65-74,Female,F,Black or African American,2054-5,23712,1097838
,2007,2007,65-74 years,65-74,Female,F,White,2106-3,142549,8999237
Total,2007,2007,65-74 years,65-74,Female,F,,,170894,10595802
,2007,2007,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1357,64441
,2007,2007,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,4487,351041
,2007,2007,65-74 years,65-74,Male,M,Black or African American,2054-5,27672,807080
,2007,2007,65-74 years,65-74,Male,M,White,2106-3,184828,7880363
Total,2007,2007,65-74 years,65-74,Male,M,,,218344,9102925
Total,2007,2007,65-74 years,65-74,,,,,389238,19698727
,2007,2007,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1332,36424
,2007,2007,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,6078,236850
,2007,2007,75-84 years,75-84,Female,F,Black or African American,2054-5,32171,654070
,2007,2007,75-84 years,75-84,Female,F,White,2106-3,292298,6767147
Total,2007,2007,75-84 years,75-84,Female,F,,,331879,7694491
,2007,2007,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1214,25623
,2007,2007,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,5950,162990
,2007,2007,75-84 years,75-84,Male,M,Black or African American,2054-5,26815,375407
,2007,2007,75-84 years,75-84,Male,M,White,2106-3,286824,4828928
Total,2007,2007,75-84 years,75-84,Male,M,,,320803,5392948
Total,2007,2007,75-84 years,75-84,,,,,652682,13087439
,2007,2007,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1104,12059
,2007,2007,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,6444,75404
,2007,2007,85+ years,85+,Female,F,Black or African American,2054-5,33939,254734
,2007,2007,85+ years,85+,Female,F,White,2106-3,423294,3104112
Total,2007,2007,85+ years,85+,Female,F,,,464781,3446309
,2007,2007,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,667,5916
,2007,2007,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,4717,44584
,2007,2007,85+ years,85+,Male,M,Black or African American,2054-5,15255,96068
,2007,2007,85+ years,85+,Male,M,White,2106-3,228227,1446668
Total,2007,2007,85+ years,85+,Male,M,,,248866,1593236
Total,2007,2007,85+ years,85+,,,,,713647,5039545
,2007,2007,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,2,Not Applicable
,2007,2007,Not Stated,NS,Female,F,Black or African American,2054-5,17,Not Applicable
,2007,2007,Not Stated,NS,Female,F,White,2106-3,26,Not Applicable
Total,2007,2007,Not Stated,NS,Female,F,,,45,Not Applicable
,2007,2007,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,6,Not Applicable
,2007,2007,Not Stated,NS,Male,M,Black or African American,2054-5,28,Not Applicable
,2007,2007,Not Stated,NS,Male,M,White,2106-3,122,Not Applicable
Total,2007,2007,Not Stated,NS,Male,M,,,156,Not Applicable
Total,2007,2007,Not Stated,NS,,,,,201,Not Applicable
Total,2007,2007,,,,,,,2423712,301231207
,2008,2008,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,169,38643
,2008,2008,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,413,114493
,2008,2008,< 1 year,1,Female,F,Black or African American,2054-5,3795,343420
,2008,2008,< 1 year,1,Female,F,White,2106-3,8013,1526333
Total,2008,2008,< 1 year,1,Female,F,,,12390,2022889
,2008,2008,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,234,38993
,2008,2008,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,536,120781
,2008,2008,< 1 year,1,Male,M,Black or African American,2054-5,4748,353526
,2008,2008,< 1 year,1,Male,M,White,2106-3,10151,1596546
Total,2008,2008,< 1 year,1,Male,M,,,15669,2109846
Total,2008,2008,< 1 year,1,,,,,28059,4132735
,2008,2008,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,50,139570
,2008,2008,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,86,445409
,2008,2008,1-4 years,4-Jan,Female,F,Black or African American,2054-5,471,1296651
,2008,2008,1-4 years,4-Jan,Female,F,White,2106-3,1430,6009664
Total,2008,2008,1-4 years,4-Jan,Female,F,,,2037,7891294
,2008,2008,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,50,144414
,2008,2008,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,77,458874
,2008,2008,1-4 years,4-Jan,Male,M,Black or African American,2054-5,647,1342191
,2008,2008,1-4 years,4-Jan,Male,M,White,2106-3,1919,6301619
Total,2008,2008,1-4 years,4-Jan,Male,M,,,2693,8247098
Total,2008,2008,1-4 years,4-Jan,,,,,4730,16138392
,2008,2008,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,45,344613
,2008,2008,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,83,1054215
,2008,2008,5-14 years,14-May,Female,F,Black or African American,2054-5,518,3281396
,2008,2008,5-14 years,14-May,Female,F,White,2106-3,1725,15176738
Total,2008,2008,5-14 years,14-May,Female,F,,,2371,19856962
,2008,2008,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,52,352777
,2008,2008,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,123,1071187
,2008,2008,5-14 years,14-May,Male,M,Black or African American,2054-5,767,3393767
,2008,2008,5-14 years,14-May,Male,M,White,2106-3,2338,15961564
Total,2008,2008,5-14 years,14-May,Male,M,,,3280,20779295
Total,2008,2008,5-14 years,14-May,,,,,5651,40636257
,2008,2008,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,173,350111
,2008,2008,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,222,1162290
,2008,2008,15-24 years,15-24,Female,F,Black or African American,2054-5,1704,3489029
,2008,2008,15-24 years,15-24,Female,F,White,2106-3,6072,16143284
Total,2008,2008,15-24 years,15-24,Female,F,,,8171,21144714
,2008,2008,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,462,378827
,2008,2008,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,499,1203698
,2008,2008,15-24 years,15-24,Male,M,Black or African American,2054-5,5513,3530044
,2008,2008,15-24 years,15-24,Male,M,White,2106-3,17553,17134209
Total,2008,2008,15-24 years,15-24,Male,M,,,24027,22246778
Total,2008,2008,15-24 years,15-24,,,,,32198,43391492
,2008,2008,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,244,291926
,2008,2008,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,445,1464541
,2008,2008,25-34 years,25-34,Female,F,Black or African American,2054-5,2903,2986536
,2008,2008,25-34 years,25-34,Female,F,White,2106-3,9048,15276408
Total,2008,2008,25-34 years,25-34,Female,F,,,12640,20019411
,2008,2008,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,528,308263
,2008,2008,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,680,1335315
,2008,2008,25-34 years,25-34,Male,M,Black or African American,2054-5,6363,2699669
,2008,2008,25-34 years,25-34,Male,M,White,2106-3,22064,15844815
Total,2008,2008,25-34 years,25-34,Male,M,,,29635,20188062
Total,2008,2008,25-34 years,25-34,,,,,42275,40207473
,2008,2008,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,489,275372
,2008,2008,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,660,1375758
,2008,2008,35-44 years,35-44,Female,F,Black or African American,2054-5,6590,3020848
